ProducID,Color,Image
OCTruDefinitionDurationMAX,Carbon,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationMAX-Carbon-620x388.jpg
OCTruDefinitionDurationMAX,Granite,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationMAX-Granite-620x388.jpg
OCTruDefinitionDurationMAX,Mahogany,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationMAX-Mahogany-620x388.jpg
OCTruDefinitionDurationMAX,Mesquite,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationMAX-Mesquite-620x388.jpg
OCTruDefinitionDurationMAX,Smokey Mountain,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationMAX-SmokeyMountain-620x388.jpg
OCTruDefinitionDurationMAX,Sycamore,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationMAX-Sycamore-620x388.jpg
OCDURATIONPREMIUM,Brownwood,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-Premium-Brownwood-620x388.jpg
OCDURATIONPREMIUM,Desert Tan,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-Premium-DesertTan-620x388.jpg
OCDURATIONPREMIUM,Driftwood,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-Premium-Driftwood-620x388.jpg
OCDURATIONPREMIUM,Estate Gray,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-Premium-EstateGrey-620x388.jpg
OCDURATIONPREMIUM,Onyx Black,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-Premium-OnyxBlack-620x388.jpg
OCDURATIONPREMIUM,Teak,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-Premium-Teak-620x388.jpg
OCDURATIONPREMIUM,Aged Copper,http://images.lowes.com/product/converted/047563/047563011548.jpg
OCDURATIONPREMIUM,Terra Cotta,http://images.lowes.com/product/converted/047563/047563009132.jpg
